ID,SVET,LVET,LAT,LAT2,LON,LON2,HEIGHT,HEIGHT WRT DEM,SIGMA HEIGHT,COHER
33674,614,1435,45.503132,45.502447,11.167918,11.16246,272.6,272.6,1.7687834,0.99
33675,681,1435,45.503926,45.503241,11.173889,11.168431,273.2,273.2,1.747028,0.98
33676,702,1435,45.504176,45.503491,11.175766,11.170308,273.8,273.8,1.738972,0.99
33677,716,1435,45.504341,45.503656,11.17701,11.171552,273.8,273.8,1.7427157,0.98
33678,728,1435,45.504488,45.503803,11.178117,11.172659,275.9,275.9,1.7511151,0.98
33679,731,1435,45.504516,45.503831,11.178326,11.172868,273,273,1.7831401,0.98
33680,737,1435,45.504586,45.503901,11.178847,11.173389,272.4,272.4,1.7964492,0.98
33681,789,1435,45.505212,45.504527,11.183561,11.178103,277.3,277.3,1.8992626,0.97
33682,917,1435,45.506967,45.506282,11.19679,11.191332,371.3,371.3,1.9242827,0.86
33683,921,1435,45.506989,45.506304,11.19695,11.191492,361.6,361.6,1.8986823,0.87
33684,938,1435,45.507107,45.506422,11.197833,11.192375,330.5,330.5,1.8891425,0.93
33685,940,1435,45.507128,45.506443,11.197997,11.192539,329.8,329.8,1.8924268,0.93
33686,1074,1435,45.509201,45.508516,11.213643,11.208185,520.2,520.2,2.0587795,0.89
33687,1085,1435,45.509335,45.50865,11.214656,11.209198,522.3,522.3,1.8847461,0.86
33688,1112,1435,45.509644,45.508959,11.216984,11.211526,519.6,519.6,2.063298,0.86
33689,1153,1435,45.510271,45.509586,11.221719,11.216261,575.8,575.8,2.0405028,0.85
33690,168,1436,45.497876,45.497191,11.128239,11.122781,279.3,279.3,1.9205348,0.83
33691,222,1436,45.498369,45.497684,11.131932,11.126474,223.1,223.1,1.9170529,0.86
33692,270,1436,45.49874,45.498055,11.134703,11.129245,148.1,148.1,1.9023768,0.86
33693,344,1436,45.500235,45.49955,11.14595,11.140492,376.7,376.7,1.8581194,0.93
33694,370,1436,45.500753,45.500068,11.149847,11.144389,454.6,454.6,1.6716873,0.97
33695,422,1436,45.501199,45.500514,11.153188,11.14773,390.5,390.5,1.7935291,0.96
33696,444,1436,45.501437,45.500752,11.154977,11.149519,381.9,381.9,1.7575406,0.97
33697,498,1436,45.501954,45.501269,11.158854,11.153396,335.6,335.6,1.7260254,0.98
33698,540,1436,45.502334,45.501649,11.161702,11.156244,291.4,291.4,1.7775314,0.96
33699,545,1436,45.502387,45.501702,11.162097,11.156639,288.9,288.9,1.7685511,0.96
33700,595,1436,45.502975,45.50229,11.166514,11.161056,287.2,287.2,1.7656571,0.98
