ID,SVET,LVET,LAT,LON,HEIGHT,HEIGHT WRT DEM,SIGMA HEIGHT,COHER
13956,641,1740,45.511366,11.162469,0.3,0.3,1.7743631,0.95
13998,671,1743,45.511807,11.165118,0.3,0.3,1.7327667,0.99
14031,687,1745,45.512053,11.166526,0.3,0.3,1.7675306,0.96
14142,723,1754,45.512734,11.16966,0.3,0.3,1.8536718,0.88
14723,620,1800,45.512817,11.160134,0.3,0.3,1.9651008,0.82
8945,1023,1283,45.502929,11.19993,0.4,0.4,2.005358,0.8
10090,306,1402,45.497809,11.135191,0.4,0.4,2.0202993,0.81
11759,534,1560,45.504999,11.154332,0.4,0.4,1.9122534,0.86
12602,654,1631,45.508433,11.164473,0.4,0.4,1.7337141,0.99
12741,700,1642,45.509289,11.168483,0.4,0.4,1.736467,0.99
13077,634,1669,45.509273,11.162399,0.4,0.4,1.7551646,0.97
13120,678,1672,45.509879,11.166294,0.4,0.4,1.8139049,0.91
13431,663,1697,45.510409,11.164764,0.4,0.4,1.7350023,0.99
13609,640,1711,45.510533,11.162607,0.4,0.4,1.7414464,0.99
13625,683,1712,45.511071,11.166429,0.4,0.4,1.8806793,0.83
14096,641,1751,45.511678,11.162387,0.4,0.4,1.7549916,0.97
14177,686,1757,45.512381,11.166346,0.4,0.4,1.7658338,0.89
5078,866,911,45.490542,11.188892,0.5,0.5,2.5755794,0.76
7064,932,1082,45.496164,11.193423,0.5,0.5,1.8710313,0.79
8598,323,1251,45.493735,11.137885,0.5,0.5,1.9096837,0.84
9823,828,1374,45.50321,11.181937,0.5,0.5,1.9128096,0.8
12970,676,1661,45.509544,11.166201,0.5,0.5,1.790903,0.95
13054,782,1667,45.510967,11.175583,0.5,0.5,1.8734905,0.82
13300,708,1687,45.510659,11.168848,0.5,0.5,1.7541875,0.96
13509,719,1703,45.511242,11.169703,0.5,0.5,1.8664666,0.85
13544,640,1706,45.510392,11.162648,0.5,0.5,1.7682686,0.95
13674,641,1716,45.510687,11.16266,0.5,0.5,1.7479479,0.98
13846,659,1730,45.511297,11.164155,0.5,0.5,1.7997837,0.92
14494,196,1783,45.507288,11.122382,0.5,0.5,2.020603,0.79
7973,785,1180,45.497207,11.179621,0.6,0.6,1.7968536,0.94
13736,685,1721,45.51135,11.16654,0.6,0.6,1.7589827,0.94
14062,669,1748,45.511926,11.164907,0.6,0.6,1.7644775,0.95
2176,482,704,45.480133,11.156336,0.7,0.7,1.9236985,0.78
4846,517,897,45.486016,11.157962,0.7,0.7,1.9253808,0.84
5123,1044,913,45.492694,11.204653,0.7,0.7,2.0371362,0.8
6458,472,1026,45.489136,11.152947,0.7,0.7,1.8941397,0.8
8579,1022,1248,45.501926,11.200119,0.7,0.7,1.8741492,0.88
8979,1023,1287,45.503043,11.199906,0.7,0.7,1.9341357,0.81
10378,580,1431,45.501891,11.159439,0.7,0.7,1.961751,0.84
11904,535,1572,45.505351,11.154333,0.7,0.7,1.8260527,0.92
13495,674,1702,45.510682,11.16571,0.7,0.7,1.7408065,0.98
13570,680,1708,45.510923,11.166198,0.7,0.7,1.7541707,0.98
13707,655,1718,45.51091,11.163896,0.7,0.7,1.7405666,0.99
13788,675,1724,45.511317,11.165629,0.7,0.7,1.7462378,0.96
13828,633,1728,45.510933,11.161858,0.7,0.7,1.7698768,0.97
13839,641,1729,45.511056,11.162563,0.7,0.7,1.7814665,0.96
13847,670,1730,45.511428,11.165138,0.7,0.7,1.7554831,0.97
13873,701,1732,45.511851,11.16788,0.7,0.7,1.8116235,0.9
13887,661,1733,45.511406,11.164312,0.7,0.7,1.7900111,0.94
14029,678,1745,45.511947,11.165733,0.7,0.7,1.7761472,0.91
